Country,Code,ContinentCode,Year,Quality of roads 1(low) - 7(high),Quality of railroad infrastructure 1(low) - 7(high),Quality of port infrastructure 1(low) - 7(high),Quality of air transport infrastructure 1(low) - 7(high)
Portugal,PRT,EU,2019,6,4.2,4.9,5
Qatar,QAT,AS,2019,5.5,,5.4,5.7
Romania,ROU,EU,2019,3,2.8,3.9,4.6
Russia,RUS,EU,2019,3.5,4.9,4.7,5
Rwanda,RWA,AF,2019,4.8,,3.2,5
Saudi Arabia,SAU,AS,2019,5.2,4.5,4.8,5.4
Senegal,SEN,AF,2019,4.1,2.9,4,4.5
Serbia,SRB,EU,2019,3.5,2.6,3.1,4.3
Seychelles,SYC,AF,2019,4,,4.4,4.4
Singapore,SGP,AS,2019,6.5,5.8,6.5,6.7
Slovakia,SVK,EU,2019,4,4,3.1,3.8
Slovenia,SVN,EU,2019,4.9,3.1,4.7,4.6
South Africa,ZAF,AF,2019,4.5,3,4.5,5.5
South Korea,KOR,AS,2019,5.9,5.9,5.5,5.9
Spain,ESP,EU,2019,5.7,5.4,5.4,5.6
Sri Lanka,LKA,AS,2019,3.9,3.8,4.1,4.6
Swaziland,SWZ,AF,2019,4,,3.4,3.8
Sweden,SWE,EU,2019,5.3,4,5.3,5.7
Switzerland,CHE,EU,2019,6.3,6.4,4.5,6.1
Taiwan,TWN,AS,2019,5.6,5.4,5.4,5.6
Tajikistan,TJK,AS,2019,4.5,4.1,1,4.5
Tanzania,TZA,AF,2019,4.1,3.2,4.1,4.1
Thailand,THA,AS,2019,4.4,2.8,4.1,5
Trinidad and Tobago,TTO,NA,2019,3.7,,3,4.2
Tunisia,TUN,AF,2019,3.6,3.2,3.4,3.6
Turkey,TUR,EU,2019,5,3.5,4.7,5.4
Uganda,UGA,AF,2019,3.7,,2.7,3.6
Ukraine,UKR,EU,2019,3,4.2,3.9,4
United Arab Emirates,ARE,AS,2019,6,,5.5,6
United Kingdom,GBR,EU,2019,4.9,4.3,5.2,5.3
Uruguay,URY,SA,2019,3.7,1.2,4.8,5.1
USA,USA,NA,2019,5.5,5.2,5.6,5.8
Venezuela,VEN,SA,2019,2.6,1.5,2.1,2.2
Vietnam,VNM,AS,2019,3.4,3.6,3.8,4
Yemen,YEM,AS,2019,2.1,,2.2,2.2
Zambia,ZMB,AF,2019,3.4,2.1,2.7,4.1
Zimbabwe,ZWE,AF,2019,2.8,1.9,3.1,3.5
