Country,Code,ContinentCode,Year,Health spending per capita,Health spending as percent of GDP,Life expectancy in years,Death rate per 1000 people,Fertility rate births per woman,Prevalence of HIV percent of the population ages 15-49,Cases of Tuberculosis per 100000 people,Hospital beds per 1000 people,Nurse to hospital bed ratio,Doctors per 1000 people,Nurses per 1000 people,Dentists per 1000 people,Pharmacists per 1000 people
Guinea,GIN,AF,2020,,,61.96,8.03,4.55,1.4,179,,,,,,
Guinea-Bissau,GNB,AF,2020,,,58.63,9.27,4.33,3,361,,,,,,
Guyana,GUY,SA,2020,,,70.02,7.65,2.42,1.3,79,,,,,,
Haiti,HTI,NA,2020,,,64.32,8.38,2.84,1.9,168,,,,,,
Honduras,HND,NA,2020,,,75.45,4.47,2.39,0.2,30,,,,,,
Hong Kong,HKG,AS,2020,,,85.39,6.8,0.87,,56,,,,,,
Hungary,HUN,EU,2020,,,75.62,14.5,1.56,,4.6,6.76,,3.14,6.58,0.67,0.78
Iceland,ISL,EU,2020,,,83.07,6.3,1.72,0.1,2.8,2.84,3.06,,15.63,0.79,0.57
India,IND,AS,2020,,,69.89,7.3,2.18,,188,,,,,,
Indonesia,IDN,AS,2020,,,71.91,6.57,2.27,0.4,301,,,,,,
Iran,IRN,AS,2020,,,76.87,4.84,2.14,0.1,13,,,,,,
Iraq,IRQ,AS,2020,,,70.75,4.71,3.54,,27,,,,,,
Ireland,IRL,EU,2020,,,82.2,6.4,1.63,0.2,5.3,2.89,,3.46,,,
Israel,ISR,AS,2020,,,82.7,5.3,2.9,,2.1,2.92,1.28,3.31,5.14,0.87,0.9
Italy,ITA,EU,2020,,,82.34,12.6,1.24,0.2,6.6,3.19,,4,6.28,0.87,1.24
Ivory Coast,CIV,AF,2020,,,58.1,9.71,4.54,2.1,135,,,,,,
Jamaica,JAM,NA,2020,,,74.59,7.61,1.95,1.4,2.4,,,,,,
Japan,JPN,AS,2020,,,84.62,11.1,1.34,0.1,12,12.63,,2.6,12.1,0.83,1.99
Jordan,JOR,AS,2020,,,74.65,3.92,2.64,0.1,4.7,,,,,,
Kazakhstan,KAZ,AS,2020,,,71.37,8.6,3.13,0.3,69,,,,,,
