Country,Code,ContinentCode,Year,Fossil fuels electricity generation billion kilowatthours,Wind electricity generation billion kilowatthours,Solar electricity generation billion kilowatthours,Hydroelectricity generation billion kilowatthours,Nuclear power generation billion kilowatthours,Geothermal electricity generation billion kilowatthours
Kiribati,KIR,OC,2020,0.03,0,0,0,0,0
Kuwait,KWT,AS,2020,66.89,0.04,0.02,0,0,0
Kyrgyzstan,KGZ,AS,2020,1.37,0,0,14.8,0,0
Laos,LAO,AS,2020,10.67,0,0.04,19.2,0,0
Latvia,LVA,EU,2020,1.82,0.18,0.01,2.59,0,0
Lebanon,LBN,AS,2020,18.27,0.01,0.09,0.97,0,0
Lesotho,LSO,AF,2020,0,0,0,0.5,0,0
Liberia,LBR,AF,2020,0.36,0,0,0.53,0,0
Libya,LBY,AF,2020,30.09,0,0.01,0,0,0
Lithuania,LTU,EU,2020,1.66,1.55,0.13,0.3,0,0
Luxembourg,LUX,EU,2020,0.17,0.34,0.18,0.09,0,0
Macao,MAC,AS,2020,0.37,0,0,0,0,0
Madagascar,MDG,AF,2020,1.27,0,0.02,0.81,0,0
Malawi,MWI,AF,2020,0.19,0,0.05,1.3,0,0
Malaysia,MYS,AS,2020,126.99,0,1,15.8,0,0
Maldives,MDV,AS,2020,0.57,0,0,0,0,0
Mali,MLI,AF,2020,2.16,0,0.03,0.95,0,0
Malta,MLT,EU,2020,1.85,0,0.23,0,0,0
Mauritania,MRT,AF,2020,1.29,0.12,0.14,0.21,0,0
Mauritius,MUS,AF,2020,2.06,0.02,0.15,0.1,0,0
Mexico,MEX,NA,2020,231.26,19.7,13.53,23.12,10.86,4.52
Moldova,MDA,EU,2020,4.14,0.05,0,0.2,0,0
Mongolia,MNG,AS,2020,6.04,0.55,0.09,0.09,0,0
Montenegro,MNE,EU,2020,1.62,0.4,0,1.8,0,0
Montserrat,MSR,NA,2020,0.01,0,0,0,0,0
Morocco,MAR,AF,2020,28.93,4.59,0.38,1.55,0,0
Mozambique,MOZ,AF,2020,3.49,0,0.04,14.17,0,0
Namibia,NAM,AF,2020,0.07,0.01,0.05,0.95,0,0
Nepal,NPL,AS,2020,0,0.01,0.08,3,0,0
Netherlands,NLD,EU,2020,80.27,15.34,7.99,0.05,3.87,0
New Caledonia,NCL,OC,2020,2.73,0.05,0,0.22,0,0
New Zealand,NZL,OC,2020,8.51,2.3,0.16,23.98,0,8.14
Nicaragua,NIC,NA,2020,1.76,0.73,0.02,0.57,0,0.78
Niger,NER,AF,2020,0.38,0,0.02,0,0,0
Nigeria,NGA,AF,2020,21.98,0,0.04,6.1,0,0
North Korea,PRK,AS,2020,2.29,0,0.02,12.2,0,0
North Macedonia,MKD,EU,2020,3.59,0.12,0.02,1.24,0,0
Norway,NOR,EU,2020,1.83,9.91,0.03,141.69,0,0
Oman,OMN,AS,2020,34.21,0,0,0,0,0
Pakistan,PAK,AS,2020,64.66,3.3,1.2,37.38,9.64,0
Panama,PAN,NA,2020,2.69,0.7,0.3,7.25,0,0
Papua New Guinea,PNG,OC,2020,3.4,0,0,0.8,0,0
Paraguay,PRY,SA,2020,0,0,0,49.34,0,0
Peru,PER,SA,2020,20.2,1.81,0.8,29.04,0,0
Philippines,PHL,AS,2020,75.63,1.05,1.25,7.79,0,10.69
Poland,POL,EU,2020,116.72,15.8,1.99,2.93,0,0
Portugal,PRT,EU,2020,20.59,12.26,1.68,13.96,0,0.22
Puerto Rico,PRI,NA,2020,16.69,0.6,0.25,0.05,0,0
Qatar,QAT,AS,2020,44.51,0,0.01,0,0,0
Republic of the Congo,COG,AF,2020,2.51,0,0,1.07,0,0
Romania,ROU,EU,2020,16.64,6.95,1.77,15.53,10.56,0
Russia,RUS,EU,2020,609.97,0.33,1.86,196,215.75,0.42
Rwanda,RWA,AF,2020,0.33,0,0.05,0.45,0,0
Saint Lucia,LCA,NA,2020,0.33,0,0,0,0,0
Saint Vincent and the Grenadines,VCT,NA,2020,0.11,0,0,0.04,0,0
