Country,Code,ContinentCode,Year,Fossil fuels electricity capacity million kilowatts,Wind electricity capacity million kilowatts,Solar electricity capacity million kilowatts,Hydroelectricity capacity million kilowatts,Nuclear electricity capacity million kilowatts,Geothermal electricity capacity million kilowatts
Kenya,KEN,AF,2020,,0.34,0.11,,,0.82
Kiribati,KIR,OC,2020,0.01,0,0,0,0,0
Kuwait,KWT,AS,2020,19.27,0.01,0.09,0,0,0
Kyrgyzstan,KGZ,AS,2020,0.73,0,0,3.89,0,0
Laos,LAO,AS,2020,1.91,0,0.02,7.38,0,0
Latvia,LVA,EU,2020,1.27,0.08,0.01,1.58,0,0
Lebanon,LBN,AS,2020,3.41,0,0.07,0.28,0,0
Lesotho,LSO,AF,2020,0,0,0,0.07,0,0
Liberia,LBR,AF,2020,0.1,0,0,0.09,0,0
Libya,LBY,AF,2020,10.51,0,0.01,0,0,0
Lithuania,LTU,EU,2020,1.67,0.54,0.15,0.12,0,0
Luxembourg,LUX,EU,2020,0.15,0.17,0.2,0.03,0,0
Macao,MAC,AS,2020,0.45,0,0,0,0,0
Madagascar,MDG,AF,2020,0.36,0,0.04,0.19,0,0
Malawi,MWI,AF,2020,0.21,0,0.02,0.37,0,0
Malaysia,MYS,AS,2020,26.26,0,1.49,6.28,0,0
Maldives,MDV,AS,2020,0.53,0,0.02,0,0,0
Mali,MLI,AF,2020,0.56,0,0.07,0.22,0,0
Malta,MLT,EU,2020,0.59,0,0.18,0,0,0
Mauritania,MRT,AF,2020,0.49,0.03,0.09,0.05,0,0
Mauritius,MUS,AF,2020,0.68,0.01,0.08,0.06,0,0
Mexico,MEX,NA,2020,63.52,8.13,5.64,12.61,1.55,0.91
Moldova,MDA,EU,2020,0.47,0.03,0.01,0.08,0,0
Mongolia,MNG,AS,2020,1.21,0.16,0.09,0.02,0,0
Montenegro,MNE,EU,2020,0.23,0.12,0.01,0.66,0,0
Montserrat,MSR,NA,2020,0.01,0,0,0,0,0
Morocco,MAR,AF,2020,10.28,1.41,0.73,1.31,0,0
Mozambique,MOZ,AF,2020,0.48,0,0.06,2.22,0,0
Namibia,NAM,AF,2020,0.14,0.01,0.15,0.35,0,0
Nepal,NPL,AS,2020,0.05,0,0.06,1.28,0,0
Netherlands,NLD,EU,2020,24.82,6.6,10.21,0.04,0.48,0
New Caledonia,NCL,OC,2020,0.88,0.04,0.08,0.08,0,0
New Zealand,NZL,OC,2020,2.22,0.78,0.14,5.35,0,0.98
Nicaragua,NIC,NA,2020,1.11,0.19,0.02,0.16,0,0.15
Niger,NER,AF,2020,0.3,0,0.03,0,0,0
Nigeria,NGA,AF,2020,9.54,0,0.03,2.11,0,0
North Korea,PRK,AS,2020,3.36,0,0.04,5.01,0,0
North Macedonia,MKD,EU,2020,1.11,0.04,0.09,0.67,0,0
Norway,NOR,EU,2020,1.07,3.98,0.15,31.56,0,0
Oman,OMN,AS,2020,8.44,0.05,0.11,0,0,0
Pakistan,PAK,AS,2020,26.27,1.24,0.74,9.93,1.32,0
Panama,PAN,NA,2020,1.82,0.27,0.2,1.79,0,0
Papua New Guinea,PNG,OC,2020,0.83,0,0,0.23,0,0.06
Paraguay,PRY,SA,2020,0,0,0,8.81,0,0
Peru,PER,SA,2020,9.06,0.38,0.33,5.4,0,0
Philippines,PHL,AS,2020,19.71,0.44,1.05,3.7,0,1.93
Poland,POL,EU,2020,33.64,6.27,3.94,0.61,0,0
Portugal,PRT,EU,2020,8.16,5.24,1.03,4.37,0,0.03
Puerto Rico,PRI,NA,2020,5.81,0.1,0.17,0.1,0,0
