Country,Code,ContinentCode,Year,Gasoline consumption thousand barrels per day,Coal consumption thousand short tons,Electricity consumption billion kilowatthours,Renewable power generation billion kilowatthours
Luxembourg,LUX,EU,2019,8.33,70.67,6.42,0.87
Macao,MAC,AS,2019,1.89,0,5.65,0.22
Madagascar,MDG,AF,2019,3.01,523.71,1.72,0.76
Malawi,MWI,AF,2019,3.8,96.41,1.12,1.4
Malaysia,MYS,AS,2019,299.81,40645.54,150.06,29.08
Maldives,MDV,AS,2019,1.98,0,0.59,0
Mali,MLI,AF,2019,9.18,0,2.62,1.05
Malta,MLT,EU,2019,1.94,0,2.5,0.22
Mauritania,MRT,AF,2019,1.2,0,1.58,0.46
Mauritius,MUS,AF,2019,4.51,731.87,2.9,0.7
Mexico,MEX,NA,2019,752.53,18533.14,277.14,55.38
Micronesia,FSM,OC,2019,0.43,0,,
Moldova,MDA,EU,2019,4.11,162.74,4.59,0.37
Mongolia,MNG,AS,2019,12.67,10794.15,7.34,0.65
Montenegro,MNE,EU,2019,0.86,1646.74,3.25,2.07
Montserrat,MSR,NA,2019,0.07,0,0.02,0
Morocco,MAR,AF,2019,16.71,9824.29,29.45,6.74
Mozambique,MOZ,AF,2019,6.75,51.37,12.72,14.31
Namibia,NAM,AF,2019,7.22,33.28,4.07,1
Nepal,NPL,AS,2019,8.48,746.5,4.68,4.24
Netherlands,NLD,EU,2019,100.27,11232.54,112.85,24.4
New Caledonia,NCL,OC,2019,1.68,1317.65,2.94,0.41
New Zealand,NZL,OC,2019,56.59,2940.8,41.17,35.81
Nicaragua,NIC,NA,2019,7.9,0,3.18,2.78
Niger,NER,AF,2019,4.91,249.12,1.33,0.02
Nigeria,NGA,AF,2019,337.74,106.25,24.61,6.17
North Korea,PRK,AS,2019,4.56,6700.94,13.93,13.67
North Macedonia,MKD,EU,2019,2.41,6595.84,6.35,1.33
Norway,NOR,EU,2019,17.72,888.3,123.57,129.66
Oman,OMN,AS,2019,64.29,74.18,32.32,0
Pakistan,PAK,AS,2019,181.4,23964.15,103.49,40.63
Panama,PAN,NA,2019,21.64,874.1,10.81,8.3
Papua New Guinea,PNG,OC,2019,2.89,0,3.7,0.84
Paraguay,PRY,SA,2019,16.69,1.2,12.72,48.93
Peru,PER,SA,2019,46.74,567.63,49.12,34.2
Philippines,PHL,AS,2019,114.14,36510.71,90.93,21.96
Poland,POL,EU,2019,109.16,131484.3,152.29,25.47
Portugal,PRT,EU,2019,24.71,2321.3,48.93,27.51
Puerto Rico,PRI,NA,2019,37.01,1732.07,15.2,0.9
Qatar,QAT,AS,2019,40.41,0,44.12,0.01
Republic of the Congo,COG,AF,2019,3.6,0,2.07,1.07
Romania,ROU,EU,2019,32.27,24672.71,50.04,24.71
Russia,RUS,EU,2019,799.37,247453.97,942.9,197.15
Rwanda,RWA,AF,2019,2.48,0,1.01,0.51
Saint Lucia,LCA,NA,2019,1.02,0,0.32,0
Saint Vincent and the Grenadines,VCT,NA,2019,0.62,0,0.13,0.03
Samoa,WSM,OC,2019,0.7,0,0.12,0.04
Sao Tome and Principe,STP,AF,2019,0.22,0,0.08,0.01
Saudi Arabia,SAU,AS,2019,531.76,126,331.38,0.44
Senegal,SEN,AF,2019,6.8,981.06,4.74,0.74
Serbia,SRB,EU,2019,10.1,42884.73,29.93,11.13
Seychelles,SYC,AF,2019,0.96,0,0.46,0.01
Sierra Leone,SLE,AF,2019,1.65,0,0.13,0.19
Singapore,SGP,AS,2019,17.13,810.84,50.74,1.84
Slovakia,SVK,EU,2019,13.06,5708.86,26.37,6.62
Slovenia,SVN,EU,2019,9.28,3830.23,13.81,5
Solomon Islands,SLB,OC,2019,0.51,0,0.09,0.01
Somalia,SOM,AF,2019,0.79,0,0.31,0.02
South Africa,ZAF,AF,2019,185,208986.7,202.29,11.4
South Korea,KOR,AS,2019,226.71,146354.91,539.98,30.53
Spain,ESP,EU,2019,124.44,8460,245,101.54
Sri Lanka,LKA,AS,2019,32.18,2435,13.99,5.09
Sudan,SDN,AF,2019,25.52,0,9.68,7.89
Suriname,SUR,SA,2019,4.16,0,2.94,1.38
Swaziland,SWZ,AF,2019,2.92,174.8,1.45,0.36
Sweden,SWE,EU,2019,51.08,2631.21,128.74,99.7
Switzerland,CHE,EU,2019,54,158.91,54.97,40.61
Syria,SYR,AS,2019,20.61,11.09,13.07,1.28
Taiwan,TWN,AS,2019,174.83,70960.48,259.91,15.25
Tajikistan,TJK,AS,2019,4.02,2266.33,15.07,18.98
Tanzania,TZA,AF,2019,15.35,605.51,6.52,2.47
Thailand,THA,AS,2019,195.3,37823.56,190.57,33.67
Togo,TGO,AF,2019,3.62,354.24,1.18,0.09
Tonga,TON,OC,2019,0.58,0,0.05,0
Trinidad and Tobago,TTO,NA,2019,10.91,5.35,8.21,0.01
Tunisia,TUN,AF,2019,15.61,3.45,16.74,0.81
Turkey,TUR,EU,2019,54.03,137176,259.39,132.55
Turkmenistan,TKM,AS,2019,35.17,0,15.09,0
Tuvalu,TUV,OC,2019,,0,,
Uganda,UGA,AF,2019,17.41,0,4.21,5.5
Ukraine,UKR,EU,2019,25.05,48765.09,124.53,13.05
United Arab Emirates,ARE,AS,2019,256.93,2122.03,122.39,3.56
United Kingdom,GBR,EU,2019,285.02,8797.02,304.14,124.9
Uruguay,URY,SA,2019,13.81,0,11.46,15.53
USA,USA,NA,2019,9309.34,588414.63,3989.38,776.96
Uzbekistan,UZB,AS,2019,25.05,5708.58,57.61,6.51
Vanuatu,VUT,OC,2019,0.18,0,0.06,0.01
Venezuela,VEN,SA,2019,174.13,42.84,78.08,72.1
Vietnam,VNM,AS,2019,169.01,74810.22,199.85,60.36
Yemen,YEM,AS,2019,18.7,36.44,2.68,0.5
Zambia,ZMB,AF,2019,7.08,1527.89,13.41,13.87
Zimbabwe,ZWE,AF,2019,7.85,2012.78,10.93,7.46
