Country,Code,ContinentCode,Year,Population size in millions,Population density people per square km,Population ages 65 and above percent of total,Population ages 0-14 percent of total,Female population percent of total,Refugee population,Migrant population percent of total population,Population growth percent
Hungary,HUN,EU,2020,9.75,107,20.16,14.41,52.4,5838,,-0.22
Iceland,ISL,EU,2020,0.37,4,15.62,19.42,49.77,1460,,1.62
India,IND,AS,2020,1380,464,6.57,26.16,48.04,195373,,0.99
Indonesia,IDN,AS,2020,273.52,146,6.26,25.94,49.65,10114,,1.07
Iran,IRN,AS,2020,83.99,52,6.56,24.74,49.51,800025,,1.29
Iraq,IRQ,AS,2020,40.22,93,3.44,37.71,49.39,270377,,2.3
Ireland,IRL,EU,2020,4.99,72,14.58,20.83,50.36,9035,,1.03
Israel,ISR,AS,2020,9.22,426,12.41,27.83,50.23,1843,,1.76
Italy,ITA,EU,2020,59.45,200,23.3,12.99,51.31,128033,,-0.47
Ivory Coast,CIV,AF,2020,26.38,83,2.88,41.51,49.58,2086,,2.54
Jamaica,JAM,NA,2020,2.96,273,9.08,23.36,50.37,27,,0.44
Japan,JPN,AS,2020,126.26,346,28.4,12.45,51.17,1132,,-0.29
Jordan,JOR,AS,2020,10.2,115,3.95,32.85,49.37,3009472,,1
Kazakhstan,KAZ,AS,2020,18.76,7,7.9,29.14,51.47,440,,1.3
Kenya,KEN,AF,2020,53.77,94,2.51,38.59,50.31,452916,,2.25
Kiribati,KIR,OC,2020,0.12,147,4.22,35.92,50.82,,,1.55
Kuwait,KWT,AS,2020,4.27,240,3.04,21.46,38.78,732,,1.5
Kyrgyzstan,KGZ,AS,2020,6.58,34,4.73,32.65,50.53,334,,1.9
Laos,LAO,AS,2020,7.28,32,4.26,31.95,49.81,,,1.47
Latvia,LVA,EU,2020,1.9,31,20.69,16.43,53.91,637,,-0.7
Lebanon,LBN,AS,2020,6.83,667,7.55,25.07,49.66,1349925,,-0.44
Lesotho,LSO,AF,2020,2.14,71,4.95,32.24,50.66,271,,0.8
Liberia,LBR,AF,2020,5.06,53,3.32,40.37,49.73,8213,,2.41
Libya,LBY,AF,2020,6.87,4,4.53,27.78,49.52,4149,,1.38
Liechtenstein,LIE,EU,2020,0.04,238,,,,129,,0.31
Lithuania,LTU,EU,2020,2.79,45,20.62,15.48,53.72,1880,,0.03
