Country,Code,ContinentCode,Year,Rule of law index (-2.5 weak; 2.5 strong),Government effectiveness index (-2.5 weak; 2.5 strong),Control of corruption (-2.5 weak; 2.5 strong),Regulatory quality index (-2.5 weak; 2.5 strong),Voice and accountability index (-2.5 weak; 2.5 strong),Political stability index (-2.5 weak; 2.5 strong),Corruption Perceptions Index 100 = no corruption,Political rights index 7 (weak) - 1 (strong),Civil liberties index 7 (weak) - 1 (strong) 
Peru,PER,SA,2020,-0.38,-0.26,-0.5,0.49,0.25,-0.36,38,2,3
Peru,PER,SA,2021,-0.52,-0.26,-0.63,0.08,0.18,-0.41,36,,
Philippines,PHL,AS,2020,-0.63,0.1,-0.49,0.13,-0.1,-0.75,34,3,4
Philippines,PHL,AS,2021,-0.64,0.07,-0.51,0.08,-0.15,-0.93,33,,
Poland,POL,EU,2020,0.53,0.36,0.65,0.86,0.62,0.52,56,2,2
Poland,POL,EU,2021,0.44,0.29,0.57,0.84,0.59,0.51,56,,
Portugal,PRT,EU,2020,1.18,1.02,0.75,0.83,1.26,1.02,61,1,1
Portugal,PRT,EU,2021,1.13,0.99,0.77,0.74,1.26,0.95,62,,
Puerto Rico,PRI,NA,2020,0.63,-0.27,0.01,0.79,0.5,0.44,,,
Puerto Rico,PRI,NA,2021,0.6,-0.26,0.4,0.83,0.51,0.51,,,
Qatar,QAT,AS,2020,1,0.9,0.78,0.85,-1.29,0.69,63,6,5
Qatar,QAT,AS,2021,0.93,1.11,0.81,0.86,-1.17,0.96,63,,
Republic of the Congo,COG,AF,2020,-1.16,-1.48,-1.44,-1.58,-1.28,-0.81,19,7,5
Republic of the Congo,COG,AF,2021,-1.14,-1.55,-1.37,-1.35,-1.24,-0.61,21,,
Romania,ROU,EU,2020,0.39,-0.26,-0.07,0.36,0.59,0.53,44,2,2
Romania,ROU,EU,2021,0.41,-0.13,-0.04,0.31,0.6,0.53,45,,
Russia,RUS,EU,2020,-0.79,-0.08,-0.91,-0.47,-1.07,-0.68,30,7,6
Russia,RUS,EU,2021,-0.87,-0.18,-0.9,-0.53,-1.1,-0.65,29,,
Rwanda,RWA,AF,2020,0.11,0.31,0.55,0.01,-1.09,0.08,54,6,6
Rwanda,RWA,AF,2021,0.2,0.26,0.6,0.07,-0.96,0.17,53,,
Saint Lucia,LCA,NA,2020,0.68,0.31,0.57,0.38,0.88,0.87,56,1,1
Saint Lucia,LCA,NA,2021,0.63,-0.09,0.59,0.37,0.86,0.85,56,,
Saint Vincent and the Grenadines,VCT,NA,2020,0.62,0.31,0.83,0.35,0.91,1.04,59,1,1
Saint Vincent and the Grenadines,VCT,NA,2021,0.61,0.31,0.8,0.34,0.88,1.04,59,,
Samoa,WSM,OC,2020,1.02,0.65,0.74,-0.15,0.82,1.16,,2,2
Samoa,WSM,OC,2021,0.89,0.44,0.63,-0.17,0.73,1.11,,,
San Marino,SMR,EU,2020,,,,,1.12,0.89,,1,1
San Marino,SMR,EU,2021,,,,,1.1,0.91,,,
Sao Tome and Principe,STP,AF,2020,-0.68,-0.69,0.14,-0.96,0.37,0.5,47,2,2
Sao Tome and Principe,STP,AF,2021,-0.7,-0.73,0.26,-0.93,0.35,0.6,45,,
Saudi Arabia,SAU,AS,2020,0.24,0.14,0.27,0.26,-1.61,-0.62,53,7,7
Saudi Arabia,SAU,AS,2021,0.23,0.5,0.31,0.34,-1.59,-0.58,53,,
Senegal,SEN,AF,2020,-0.29,-0.03,0.01,-0.28,0.24,-0.14,45,3,3
Senegal,SEN,AF,2021,-0.36,0.06,0.06,-0.31,0.19,-0.17,43,,
Serbia,SRB,EU,2020,-0.1,-0.01,-0.43,0.09,-0.12,-0.16,38,4,3
Serbia,SRB,EU,2021,-0.09,0.05,-0.44,0.05,-0.12,-0.13,38,,
Seychelles,SYC,AF,2020,0.28,0.73,1.42,0.04,0.49,0.73,66,3,3
Seychelles,SYC,AF,2021,0.34,0.94,1.63,0.02,0.64,0.76,70,,
Sierra Leone,SLE,AF,2020,-0.77,-1.03,-0.37,-0.89,-0.1,-0.3,33,3,3
Sierra Leone,SLE,AF,2021,-0.82,-1.11,-0.43,-0.96,-0.06,-0.16,34,,
Singapore,SGP,AS,2020,1.87,2.32,2.15,2.21,-0.2,1.46,85,4,4
Singapore,SGP,AS,2021,1.86,2.29,2.17,2.23,-0.14,1.49,85,,
Slovakia,SVK,EU,2020,0.67,0.54,0.44,0.79,0.88,0.63,49,1,2
Slovakia,SVK,EU,2021,0.71,0.53,0.24,0.87,0.91,0.56,52,,
Slovenia,SVN,EU,2020,1.06,1.16,0.8,0.92,0.94,0.71,60,1,1
Slovenia,SVN,EU,2021,1.03,1.18,0.72,0.83,0.91,0.76,57,,
Solomon Islands,SLB,OC,2020,-0.02,-0.83,0.09,-0.85,0.56,0.64,42,2,2
Solomon Islands,SLB,OC,2021,-0.35,-0.91,-0.14,-0.86,0.47,0.49,43,,
Somalia,SOM,AF,2020,-2.31,-2.11,-1.67,-1.94,-1.84,-2.58,12,7,7
Somalia,SOM,AF,2021,-2.27,-2.05,-1.78,-1.82,-1.75,-2.68,13,,
South Africa,ZAF,AF,2020,-0.18,0.1,-0.01,0.04,0.7,-0.24,44,2,2
South Africa,ZAF,AF,2021,0.13,-0.02,0.02,-0.07,0.79,-0.71,44,,
South Korea,KOR,AS,2020,1.18,1.41,0.72,1.04,0.82,0.57,61,2,2
South Korea,KOR,AS,2021,1.13,1.41,0.76,1.1,0.93,0.66,62,,
Spain,ESP,EU,2020,0.89,0.89,0.74,0.77,1.01,0.44,62,1,1
Spain,ESP,EU,2021,0.88,0.95,0.74,0.81,1.01,0.58,61,,
Sri Lanka,LKA,AS,2020,0.01,-0.05,-0.31,-0.21,-0.05,-0.08,38,4,4
Sri Lanka,LKA,AS,2021,0.04,-0.08,-0.33,-0.37,-0.07,-0.32,37,,
Sudan,SDN,AF,2020,-1.08,-1.53,-1.43,-1.55,-1.44,-1.66,16,7,6
Sudan,SDN,AF,2021,-1.21,-1.64,-1.29,-1.47,-1.47,-1.94,20,,
Suriname,SUR,SA,2020,-0.11,-0.54,-0.44,-0.78,0.42,0.42,38,2,3
Suriname,SUR,SA,2021,-0.1,-0.65,-0.4,-0.7,0.38,0.37,39,,
Swaziland,SWZ,AF,2020,-0.49,-0.73,-0.25,-0.47,-1.33,-0.06,33,7,5
Swaziland,SWZ,AF,2021,-0.56,-0.73,-0.65,-0.58,-1.3,-0.03,32,,
Sweden,SWE,EU,2020,1.8,1.71,2.13,1.69,1.5,1.03,85,1,1
Sweden,SWE,EU,2021,1.73,1.65,2.13,1.75,1.51,1.03,85,,
Switzerland,CHE,EU,2020,1.82,2.01,2.08,1.59,1.54,1.19,85,1,1
Switzerland,CHE,EU,2021,1.81,2.03,1.99,1.73,1.55,1.13,84,,
Syria,SYR,AS,2020,-2.07,-1.73,-1.72,-1.87,-1.93,-2.71,14,7,7
Syria,SYR,AS,2021,-2.07,-1.74,-1.78,-1.63,-1.92,-2.66,13,,
Taiwan,TWN,AS,2020,1.26,1.58,1.15,1.37,1.1,0.77,65,1,1
Taiwan,TWN,AS,2021,1.3,1.47,1.21,1.47,1.1,0.78,68,,
Tajikistan,TJK,AS,2020,-1.23,-0.71,-1.33,-1.04,-1.78,-0.51,25,7,6
Tajikistan,TJK,AS,2021,-1.19,-0.59,-1.34,-1.13,-1.71,-0.61,25,,
Tanzania,TZA,AF,2020,-0.59,-0.71,-0.36,-0.67,-0.73,-0.47,38,5,5
Tanzania,TZA,AF,2021,-0.52,-0.63,-0.36,-0.63,-0.71,-0.44,39,,
Thailand,THA,AS,2020,0.12,0.23,-0.46,0.08,-0.81,-0.58,36,6,4
Thailand,THA,AS,2021,0.11,0.25,-0.46,0.09,-0.79,-0.55,35,,
Togo,TGO,AF,2020,-0.65,-0.7,-0.71,-0.65,-0.75,-0.92,29,5,4
Togo,TGO,AF,2021,-0.56,-0.65,-0.67,-0.63,-0.79,-0.8,30,,
Tonga,TON,OC,2020,0.51,0.29,-0.31,-0.34,0.64,1.03,,2,2
Tonga,TON,OC,2021,0.45,0.28,-0.38,-0.28,0.73,1.07,,,
Trinidad and Tobago,TTO,NA,2020,-0.15,0.21,-0.14,-0.16,0.65,0.12,40,2,2
Trinidad and Tobago,TTO,NA,2021,-0.14,0.19,-0.28,-0.09,0.67,0.15,41,,
Tunisia,TUN,AF,2020,0.17,-0.16,-0.08,-0.29,0.28,-0.58,44,2,3
Tunisia,TUN,AF,2021,0.1,-0.17,-0.23,-0.39,0.19,-0.7,44,,
Turkey,TUR,EU,2020,-0.41,-0.13,-0.34,-0.01,-0.86,-1.14,40,5,6
Turkey,TUR,EU,2021,-0.42,-0.09,-0.39,-0.08,-0.86,-1.1,38,,
Turkmenistan,TKM,AS,2020,-1.38,-0.99,-1.41,-2.04,-2.03,-0.2,19,7,7
Turkmenistan,TKM,AS,2021,-1.44,-0.93,-1.42,-2.02,-1.91,-0.32,19,,
Tuvalu,TUV,OC,2020,0.67,-0.54,0.5,-0.4,1.18,1.19,,1,1
Tuvalu,TUV,OC,2021,0.72,-0.48,0.67,-0.38,1.16,1.28,,,
Uganda,UGA,AF,2020,-0.34,-0.59,-1.03,-0.47,-0.71,-0.81,27,6,5
Uganda,UGA,AF,2021,-0.35,-0.57,-1,-0.48,-0.82,-0.86,27,,
Ukraine,UKR,EU,2020,-0.69,-0.38,-0.81,-0.25,0.09,-1.14,33,3,3
Ukraine,UKR,EU,2021,-0.66,-0.41,-0.77,-0.28,0.08,-1.1,32,,
United Arab Emirates,ARE,AS,2020,0.91,1.32,1.11,1.09,-1.18,0.62,71,7,6
United Arab Emirates,ARE,AS,2021,0.83,1.4,1.18,1.01,-1.19,0.65,69,,
United Kingdom,GBR,EU,2020,1.49,1.37,1.69,1.49,1.25,0.49,77,1,1
United Kingdom,GBR,EU,2021,1.43,1.28,1.67,1.47,1.3,0.54,78,,
Uruguay,URY,SA,2020,0.68,0.77,1.39,0.7,1.31,1.05,71,1,1
Uruguay,URY,SA,2021,0.73,0.84,1.62,0.72,1.3,1.05,73,,
USA,USA,NA,2020,1.36,1.31,1.07,1.25,0.87,0.03,67,2,1
USA,USA,NA,2021,1.42,1.34,1.05,1.45,0.9,0,67,,
Uzbekistan,UZB,AS,2020,-1.08,-0.53,-1.05,-0.98,-1.53,-0.43,26,7,6
Uzbekistan,UZB,AS,2021,-0.89,-0.2,-0.81,-0.58,-1.4,-0.24,28,,
Vanuatu,VUT,OC,2020,0.32,-0.4,-0.15,-0.4,0.61,0.91,43,2,2
Vanuatu,VUT,OC,2021,0.46,-0.56,-0.02,-0.12,0.69,0.79,45,,
Venezuela,VEN,SA,2020,-2.33,-1.87,-1.56,-2.25,-1.52,-1.55,15,7,6
Venezuela,VEN,SA,2021,-2.3,-1.85,-1.61,-2.2,-1.63,-1.53,14,,
Vietnam,VNM,AS,2020,-0.16,0.23,-0.35,-0.22,-1.38,-0.08,36,7,5
Vietnam,VNM,AS,2021,-0.15,0.28,-0.29,-0.4,-1.3,-0.11,39,,
Yemen,YEM,AS,2020,-1.78,-2.35,-1.69,-1.84,-1.77,-2.65,15,7,6
Yemen,YEM,AS,2021,-1.8,-2.3,-1.65,-2.01,-1.68,-2.59,16,,
Zambia,ZMB,AF,2020,-0.63,-0.8,-0.72,-0.67,-0.43,-0.13,33,4,4
Zambia,ZMB,AF,2021,-0.59,-0.82,-0.75,-0.55,-0.37,0.06,33,,
Zimbabwe,ZWE,AF,2020,-1.31,-1.3,-1.29,-1.42,-1.11,-1.07,24,5,5
Zimbabwe,ZWE,AF,2021,-1.26,-1.24,-1.26,-1.37,-1.14,-1.03,23,,
