Country,Code,ContinentCode,Year,Rule of law index (-2.5 weak; 2.5 strong),Government effectiveness index (-2.5 weak; 2.5 strong),Control of corruption (-2.5 weak; 2.5 strong),Regulatory quality index (-2.5 weak; 2.5 strong),Voice and accountability index (-2.5 weak; 2.5 strong),Political stability index (-2.5 weak; 2.5 strong),Corruption Perceptions Index 100 = no corruption,Political rights index 7 (weak) - 1 (strong),Civil liberties index 7 (weak) - 1 (strong) 
Bulgaria,BGR,EU,2020,-0.11,-0.18,-0.3,0.47,0.26,0.42,44,2,2
Bulgaria,BGR,EU,2021,-0.04,-0.14,-0.24,0.45,0.29,0.46,42,,
Burkina Faso,BFA,AF,2020,-0.44,-0.68,-0.1,-0.47,-0.18,-1.54,40,4,4
Burkina Faso,BFA,AF,2021,-0.44,-0.73,-0.06,-0.47,-0.11,-1.64,42,,
Burma (Myanmar),MMR,AS,2020,-1.17,-1.02,-0.66,-0.62,-0.94,-1.51,28,5,6
Burma (Myanmar),MMR,AS,2021,-1.46,-1.41,-1.03,-1.13,-1.66,-2.07,28,,
Burundi,BDI,AF,2020,-1.32,-1.28,-1.54,-1.04,-1.53,-1.54,19,7,6
Burundi,BDI,AF,2021,-1.29,-1.33,-1.58,-0.98,-1.41,-1.36,19,,
Cambodia,KHM,AS,2020,-0.94,-0.39,-1.25,-0.62,-1.36,-0.23,21,7,5
Cambodia,KHM,AS,2021,-0.9,-0.42,-1.18,-0.64,-1.44,-0.13,23,,
Cameroon,CMR,AF,2020,-1.15,-0.9,-1.11,-0.82,-1.21,-1.5,25,6,6
Cameroon,CMR,AF,2021,-1.1,-0.88,-1.09,-0.92,-1.16,-1.41,27,,
Canada,CAN,NA,2020,1.65,1.64,1.59,1.6,1.48,1.03,77,1,1
Canada,CAN,NA,2021,1.63,1.6,1.65,1.62,1.46,0.94,74,,
Cape Verde,CPV,AF,2020,0.46,0.23,0.87,0.17,0.92,0.89,58,1,1
Cape Verde,CPV,AF,2021,0.35,0.04,1.04,0.27,0.94,0.9,58,,
Central African Republic,CAF,AF,2020,-1.73,-1.7,-1.27,-1.48,-1.3,-2.23,26,7,7
Central African Republic,CAF,AF,2021,-1.67,-1.64,-1.23,-1.49,-1.2,-2.1,24,,
Chad,TCD,AF,2020,-1.32,-1.48,-1.41,-1.11,-1.4,-1.25,21,7,6
Chad,TCD,AF,2021,-1.33,-1.42,-1.48,-1.15,-1.42,-1.34,20,,
Chile,CHL,SA,2020,0.94,0.74,1.13,0.96,1,0.07,67,1,2
Chile,CHL,SA,2021,0.91,0.63,0.98,0.95,0.97,0.06,67,,
China,CHN,AS,2020,-0.08,0.68,-0.05,-0.19,-1.65,-0.33,42,7,6
